page_id,form_id,typetext_id,value,deleted,done
007bd6b4,1,0,test@example.com{{メールアドレス}},False,True
01cfa455,0,0,やまだたろう{{姓名}},False,True
01cfa455,0,1,やまだたろう{{姓名}},False,True
01cfa455,0,2,千代田区１−１−１{{区市町村番地}},False,True
01cfa455,0,3,1970{{年_西暦}},False,True
01cfa455,0,4,1{{月}},False,True
01cfa455,0,5,1{{日}},False,True
01cfa455,0,6,0300000000{{固定電話番号}},False,True
01cfa455,0,7,0300000000{{固定電話番号}},False,True
01cfa455,0,8,09000000000{{携帯電話番号}},False,True
01cfa455,0,9,0300000000{{固定電話番号}},False,True
01cfa455,0,10,0300000000{{固定電話番号}},False,True
01cfa455,0,11,test@example.com{{メールアドレス}},False,True
01cfa455,0,12,1970{{年_西暦}},False,True
01cfa455,0,13,1{{月}},False,True
01cfa455,0,14,テスト{{会社}},False,True
01cfa455,0,15,1970{{年_西暦}},False,True
01cfa455,0,16,1{{月}},False,True
01cfa455,0,17,テスト{{会社}},False,True
01cfa455,0,18,1970{{年_西暦}},False,True
01cfa455,0,19,1{{月}},False,True
01cfa455,0,20,テスト{{会社}},False,True
01cfa455,0,21,1970{{年_西暦}},False,True
01cfa455,0,22,1{{月}},False,True
01cfa455,0,23,テスト{{会社}},False,True
01cfa455,0,24,1970{{年_西暦}},False,True
01cfa455,0,25,1{{月}},False,True
01cfa455,0,26,テスト{{会社}},False,True
01cfa455,0,27,1970{{年_西暦}},False,True
01cfa455,0,28,1{{月}},False,True
01cfa455,0,29,テスト{{会社}},False,True
01cfa455,0,30,1970{{年_西暦}},False,True
01cfa455,0,31,1{{月}},False,True
01cfa455,0,32,テスト{{会社}},False,True
01cfa455,0,33,テスト{{大学}},False,True
01cfa455,0,34,1970{{年_西暦}},False,True
01cfa455,0,35,1{{月}},False,True
01cfa455,0,36,1{{番号}},False,True
01cfa455,0,37,1970{{年_西暦}},False,True
01cfa455,0,38,1{{月}},False,True
01cfa455,0,39,1970{{年_西暦}},False,True
01cfa455,0,40,1{{番号}},False,True
01cfa455,0,41,テスト{{任意}},False,True
01cfa455,0,42,テスト{{資格}},False,True
01cfa455,0,43,テスト{{資格}},False,True
01cfa455,0,44,テスト{{資格}},False,True
01cfa455,0,45,テスト{{任意}},False,True
01cfa455,0,46,1970{{年_西暦}},False,True
01cfa455,0,47,1{{月}},False,True
01cfa455,0,48,テスト{{任意}},False,True
01cfa455,0,49,1{{回}},False,True
01cfa455,0,50,1{{日数}},False,True
01cfa455,0,51,1{{万円}},False,True
01cfa455,0,52,1{{万円}},False,True
01cfa455,0,53,1{{万円}},False,True
01cfa455,0,54,1{{万円}},False,True
01cfa455,0,55,1{{万円}},False,True
01cfa455,0,56,1{{万円}},False,True
01cfa455,0,57,テスト{{任意}},False,True
01cfa455,0,58,テスト{{任意}},False,True
01cfa455,0,59,テスト{{任意}},False,True
02086856,0,0,やまだたろう{{姓名}},False,True
02086856,0,1,テスト{{会社}},False,True
02086856,0,2,100-0000{{郵便番号_ハイフンあり}},False,True
02086856,0,3,test@example.com{{メールアドレス}},False,True
02086856,0,4,test@example.com{{メールアドレス}},False,True
